id_estudante,genero,horas_estudo,percentual_frequencia,horas_sono,escolaridade_pais,acesso_internet,atividades_extracurriculares,trabalho_meio_periodo,nota_anterior,pontuacao_prova_final,nota_final
1,Masculino,4.0,98.0,6.5,Bacharelado,Sim,Sim,Não,76.9,100.0,A
2,Feminino,6.3,100.0,5.7,Ensino Médio,Sim,Sim,Sim,75.5,100.0,A
3,Masculino,4.9,85.3,7.9,Bacharelado,Sim,Não,Sim,88.5,97.3,A
4,Masculino,2.6,77.5,8.0,,Sim,Sim,Não,85.1,83.8,B
5,Masculino,2.2,89.6,4.6,Bacharelado,Sim,Não,Sim,61.8,68.3,D
6,Feminino,4.2,78.2,5.7,Ensino Médio,Sim,Não,Não,79.8,81.6,B
7,Masculino,1.5,100.0,5.0,Ensino Médio,Sim,Sim,Sim,58.6,69.6,D
8,Masculino,6.2,86.4,6.0,Ensino Médio,Sim,Sim,Não,78.4,88.0,B
9,Masculino,5.3,81.3,6.7,Bacharelado,Sim,Não,Não,63.8,84.4,B
10,Feminino,2.8,86.8,5.1,Bacharelado,Sim,Sim,Não,57.7,74.3,C
11,Masculino,0.9,71.5,5.7,Ensino Médio,Sim,Não,Sim,73.4,68.9,D
12,Masculino,5.5,75.3,5.6,,Sim,Sim,Não,37.9,76.7,C
13,Masculino,3.3,97.0,7.0,Mestrado,Sim,Sim,Sim,49.0,82.6,B
14,Masculino,5.4,78.4,6.9,Bacharelado,Não,Não,Não,67.9,93.3,A
15,Feminino,1.1,74.5,5.9,Mestrado,Sim,Sim,Sim,71.0,73.9,C
16,Masculino,2.6,90.4,7.0,Ensino Médio,Sim,Sim,Não,65.6,84.8,B
17,Feminino,3.5,96.9,6.1,Bacharelado,Sim,Sim,Não,51.0,81.5,B
18,Feminino,3.6,92.2,6.5,Bacharelado,Sim,Sim,Sim,60.2,75.5,C
19,Feminino,2.8,95.0,8.8,Mestrado,Não,Sim,Não,74.7,89.7,B
20,Masculino,4.4,77.4,8.4,Mestrado,Não,Não,Sim,77.0,92.8,A
21,Feminino,1.9,70.8,5.2,Ensino Médio,Sim,Sim,Não,69.8,73.5,C
22,Masculino,3.3,100.0,7.8,,Sim,Sim,Não,83.9,100.0,A
23,Feminino,3.7,81.8,7.8,Ensino Médio,Não,Não,Não,74.8,73.4,C
24,Feminino,4.3,82.5,5.4,Doutorado,Não,Sim,Não,61.0,71.2,C
25,Feminino,4.6,98.3,7.8,,Sim,Sim,Sim,66.6,97.2,A
26,Feminino,1.8,90.6,8.6,Ensino Médio,Sim,Não,Não,53.2,76.0,C
27,Feminino,1.2,89.6,5.5,Mestrado,Sim,Não,Sim,68.7,78.7,C
28,Feminino,5.4,100.0,5.7,Ensino Médio,Não,Não,Não,83.3,97.4,A
29,Feminino,4.0,78.6,8.0,Bacharelado,Sim,Não,Não,78.2,84.2,B
30,Feminino,2.4,94.3,7.1,Bacharelado,Sim,Sim,Não,86.8,89.8,B
31,Masculino,5.8,85.6,7.5,Bacharelado,Sim,Não,Sim,66.4,82.4,B
32,Masculino,3.7,87.7,7.2,,Sim,Sim,Não,86.2,87.7,B
33,Feminino,5.3,100.0,7.3,Mestrado,Sim,Sim,Não,67.7,100.0,A
34,Feminino,3.6,90.1,5.2,Bacharelado,Não,Sim,Não,87.7,93.3,A
35,Feminino,6.6,90.4,8.1,Mestrado,Sim,Sim,Sim,69.7,100.0,A
36,Masculino,6.1,95.7,8.2,,Sim,Sim,Sim,78.5,92.9,A
37,Feminino,3.1,81.4,6.5,Ensino Médio,Sim,Não,Sim,87.7,83.2,B
38,Masculino,5.0,76.6,6.7,,Sim,Sim,Não,67.7,81.1,B
39,Masculino,4.5,74.6,5.0,Ensino Médio,Sim,Sim,Sim,72.6,89.5,B
40,Masculino,5.6,65.3,7.4,Mestrado,Sim,Sim,Não,85.5,91.6,A
41,Masculino,2.1,100.0,7.5,Ensino Médio,Sim,Sim,Sim,68.4,75.3,C
42,Masculino,4.5,74.0,6.7,Ensino Médio,Sim,Não,Não,54.1,79.0,C
43,Feminino,5.1,82.8,8.1,Bacharelado,Sim,Sim,Não,95.7,100.0,A
44,Feminino,0.9,82.2,6.4,Bacharelado,Sim,Sim,Não,64.4,79.2,C
45,Feminino,1.7,88.1,7.5,Bacharelado,Não,Sim,Não,71.9,70.8,C
46,Feminino,0.5,93.2,5.6,Ensino Médio,Não,Não,Sim,83.9,61.8,D
47,Feminino,3.1,93.6,6.8,Bacharelado,Sim,Sim,Sim,62.7,68.0,D
48,Masculino,4.6,79.2,6.6,,Sim,Sim,Sim,57.9,80.3,B
49,Feminino,5.8,83.3,7.1,Bacharelado,Não,Sim,Não,73.0,88.6,B
50,Feminino,3.6,87.8,6.4,Ensino Médio,Sim,Sim,Não,48.5,69.4,D
51,Masculino,5.9,82.5,6.6,Bacharelado,Sim,Sim,Não,66.5,100.0,A
52,Feminino,1.4,100.0,7.8,Ensino Médio,Não,Não,Não,72.9,81.8,B
53,Masculino,0.9,89.9,6.3,Mestrado,Sim,Não,Não,66.8,72.6,C
