id_estudante,genero,horas_estudo,percentual_frequencia,horas_sono,escolaridade_pais,acesso_internet,atividades_extracurriculares,trabalho_meio_periodo,nota_anterior,pontuacao_prova_final,nota_final
1,1,4.0,98.0,6.5,2,1,1,0,76.9,100.0,1
2,0,6.3,100.0,5.7,1,1,1,1,75.5,100.0,1
3,1,4.9,85.3,7.9,2,1,0,1,88.5,97.3,1
4,1,2.6,77.5,8.0,0,1,1,0,85.1,83.8,1
5,1,2.2,89.6,4.6,2,1,0,1,61.8,68.3,0
6,0,4.2,78.2,5.7,1,1,0,0,79.8,81.6,1
7,1,1.5,100.0,5.0,1,1,1,1,58.6,69.6,0
8,1,6.2,86.4,6.0,1,1,1,0,78.4,88.0,1
9,1,5.3,81.3,6.7,2,1,0,0,63.8,84.4,1
10,0,2.8,86.8,5.1,2,1,1,0,57.7,74.3,1
11,1,0.9,71.5,5.7,1,1,0,1,73.4,68.9,0
12,1,5.5,75.3,5.6,0,1,1,0,37.9,76.7,1
13,1,3.3,97.0,7.0,3,1,1,1,49.0,82.6,1
14,1,5.4,78.4,6.9,2,0,0,0,67.9,93.3,1
15,0,1.1,74.5,5.9,3,1,1,1,71.0,73.9,1
16,1,2.6,90.4,7.0,1,1,1,0,65.6,84.8,1
17,0,3.5,96.9,6.1,2,1,1,0,51.0,81.5,1
18,0,3.6,92.2,6.5,2,1,1,1,60.2,75.5,1
19,0,2.8,95.0,8.8,3,0,1,0,74.7,89.7,1
20,1,4.4,77.4,8.4,3,0,0,1,77.0,92.8,1
21,0,1.9,70.8,5.2,1,1,1,0,69.8,73.5,1
22,1,3.3,100.0,7.8,0,1,1,0,83.9,100.0,1
23,0,3.7,81.8,7.8,1,0,0,0,74.8,73.4,1
24,0,4.3,82.5,5.4,4,0,1,0,61.0,71.2,1
25,0,4.6,98.3,7.8,0,1,1,1,66.6,97.2,1
26,0,1.8,90.6,8.6,1,1,0,0,53.2,76.0,1
27,0,1.2,89.6,5.5,3,1,0,1,68.7,78.7,1
28,0,5.4,100.0,5.7,1,0,0,0,83.3,97.4,1
29,0,4.0,78.6,8.0,2,1,0,0,78.2,84.2,1
30,0,2.4,94.3,7.1,2,1,1,0,86.8,89.8,1
31,1,5.8,85.6,7.5,2,1,0,1,66.4,82.4,1
32,1,3.7,87.7,7.2,0,1,1,0,86.2,87.7,1
33,0,5.3,100.0,7.3,3,1,1,0,67.7,100.0,1
34,0,3.6,90.1,5.2,2,0,1,0,87.7,93.3,1
35,0,6.6,90.4,8.1,3,1,1,1,69.7,100.0,1
36,1,6.1,95.7,8.2,0,1,1,1,78.5,92.9,1
37,0,3.1,81.4,6.5,1,1,0,1,87.7,83.2,1
38,1,5.0,76.6,6.7,0,1,1,0,67.7,81.1,1
39,1,4.5,74.6,5.0,1,1,1,1,72.6,89.5,1
40,1,5.6,65.3,7.4,3,1,1,0,85.5,91.6,1
41,1,2.1,100.0,7.5,1,1,1,1,68.4,75.3,1
42,1,4.5,74.0,6.7,1,1,0,0,54.1,79.0,1
43,0,5.1,82.8,8.1,2,1,1,0,95.7,100.0,1
44,0,0.9,82.2,6.4,2,1,1,0,64.4,79.2,1
45,0,1.7,88.1,7.5,2,0,1,0,71.9,70.8,1
46,0,0.5,93.2,5.6,1,0,0,1,83.9,61.8,0
47,0,3.1,93.6,6.8,2,1,1,1,62.7,68.0,0
48,1,4.6,79.2,6.6,0,1,1,1,57.9,80.3,1
49,0,5.8,83.3,7.1,2,0,1,0,73.0,88.6,1
50,0,3.6,87.8,6.4,1,1,1,0,48.5,69.4,0
51,1,5.9,82.5,6.6,2,1,1,0,66.5,100.0,1
52,0,1.4,100.0,7.8,1,0,0,0,72.9,81.8,1
53,1,0.9,89.9,6.3,3,1,0,0,66.8,72.6,1
54,0,3.4,92.3,4.9,3,1,0,0,51.5,85.3,1
55,1,4.1,91.6,8.9,2,0,1,0,89.1,99.8,1
56,0,3.5,96.7,8.5,2,1,1,1,71.2,84.3,1
57,0,0.5,86.8,5.2,3,1,1,0,87.2,71.5,1
58,1,3.4,72.0,7.6,2,1,0,0,66.9,84.3,1
59,1,1.5,89.0,6.2,3,1,0,0,59.4,74.5,1
60,1,4.5,78.5,7.1,2,1,0,0,73.2,89.5,1
61,1,4.0,79.7,7.2,3,1,1,0,67.4,80.4,1
62,1,2.1,90.9,6.5,2,0,1,1,55.9,71.1,1
63,1,2.7,97.4,5.9,2,1,1,0,87.6,87.8,1
64,1,1.9,85.2,6.0,0,1,0,0,62.5,73.0,1
65,1,3.4,88.1,5.7,2,1,0,1,47.9,80.8,1
66,0,4.9,100.0,5.8,2,1,0,0,85.9,97.4,1
67,0,2.0,87.4,6.7,1,1,1,0,63.9,67.8,0
68,1,4.3,100.0,5.9,2,0,1,0,62.7,79.2,1
69,0,2.7,90.7,7.6,2,0,0,1,48.8,73.5,1
70,0,2.3,67.4,8.6,1,1,0,0,90.9,85.1,1
71,0,3.3,92.5,6.1,1,1,1,0,54.5,79.6,1
72,0,1.9,88.8,7.1,2,1,1,0,70.7,77.4,1
73,1,2.7,97.9,7.4,3,1,1,0,81.0,94.6,1
74,0,1.7,91.7,7.4,2,1,1,0,75.1,77.6,1
75,1,6.4,83.6,6.9,1,1,1,0,69.3,99.9,1
76,0,3.6,72.8,7.7,3,0,0,0,49.6,64.4,0
77,0,2.5,82.9,7.4,1,1,1,0,60.3,71.9,1
78,0,3.8,76.5,5.3,2,1,1,0,72.3,79.3,1
79,1,3.3,79.2,7.8,1,1,1,1,60.6,74.9,1
80,0,3.2,90.9,7.9,1,1,0,0,72.4,87.4,1
81,1,4.4,100.0,5.9,1,1,0,0,78.2,97.6,1
82,0,4.6,88.9,6.8,2,1,1,0,81.6,74.5,1
83,1,2.7,73.0,7.6,1,1,0,1,55.3,64.1,0
84,0,2.6,89.4,6.5,2,1,0,0,96.4,90.0,1
85,1,3.1,97.0,8.1,2,1,1,1,79.2,99.3,1
86,1,0.5,78.9,9.6,2,1,1,1,70.0,63.9,0
87,0,1.2,83.7,5.9,2,1,0,0,83.1,79.0,1
88,1,5.6,85.1,5.1,3,1,0,0,98.4,100.0,1
89,0,6.0,77.2,7.2,1,1,0,0,52.7,78.9,1
90,0,3.1,91.5,7.7,2,1,0,1,67.3,84.5,1
91,0,4.4,83.8,6.5,1,1,0,0,41.5,71.7,1
92,0,4.0,89.2,8.5,1,1,1,1,72.3,86.3,1
93,0,8.1,76.1,5.2,2,1,1,0,74.4,98.3,1
94,0,5.2,80.6,7.6,2,1,1,0,69.5,88.1,1
95,0,3.3,92.2,6.1,4,1,1,0,62.1,99.6,1
96,0,2.1,81.3,8.9,2,1,0,0,45.4,74.8,1
97,0,1.1,100.0,9.2,0,1,0,1,74.5,87.4,1
98,0,3.8,81.0,5.9,1,0,0,0,87.5,88.5,1
99,0,2.4,87.2,6.1,1,1,1,1,62.9,65.2,0
