id_estudante,genero,horas_estudo,percentual_frequencia,horas_sono,escolaridade_pais,acesso_internet,atividades_extracurriculares,trabalho_meio_periodo,nota_anterior,pontuacao_prova_final,nota_final
1,1,4.0,98.0,6.5,2,1,1,0,76.9,100.0,A
2,0,6.3,100.0,5.7,1,1,1,1,75.5,100.0,A
3,1,4.9,85.3,7.9,2,1,0,1,88.5,97.3,A
4,1,2.6,77.5,8.0,0,1,1,0,85.1,83.8,B
5,1,2.2,89.6,4.6,2,1,0,1,61.8,68.3,D
6,0,4.2,78.2,5.7,1,1,0,0,79.8,81.6,B
7,1,1.5,100.0,5.0,1,1,1,1,58.6,69.6,D
8,1,6.2,86.4,6.0,1,1,1,0,78.4,88.0,B
9,1,5.3,81.3,6.7,2,1,0,0,63.8,84.4,B
10,0,2.8,86.8,5.1,2,1,1,0,57.7,74.3,C
11,1,0.9,71.5,5.7,1,1,0,1,73.4,68.9,D
12,1,5.5,75.3,5.6,0,1,1,0,37.9,76.7,C
13,1,3.3,97.0,7.0,3,1,1,1,49.0,82.6,B
14,1,5.4,78.4,6.9,2,0,0,0,67.9,93.3,A
15,0,1.1,74.5,5.9,3,1,1,1,71.0,73.9,C
16,1,2.6,90.4,7.0,1,1,1,0,65.6,84.8,B
17,0,3.5,96.9,6.1,2,1,1,0,51.0,81.5,B
18,0,3.6,92.2,6.5,2,1,1,1,60.2,75.5,C
19,0,2.8,95.0,8.8,3,0,1,0,74.7,89.7,B
20,1,4.4,77.4,8.4,3,0,0,1,77.0,92.8,A
21,0,1.9,70.8,5.2,1,1,1,0,69.8,73.5,C
22,1,3.3,100.0,7.8,0,1,1,0,83.9,100.0,A
23,0,3.7,81.8,7.8,1,0,0,0,74.8,73.4,C
24,0,4.3,82.5,5.4,4,0,1,0,61.0,71.2,C
25,0,4.6,98.3,7.8,0,1,1,1,66.6,97.2,A
26,0,1.8,90.6,8.6,1,1,0,0,53.2,76.0,C
27,0,1.2,89.6,5.5,3,1,0,1,68.7,78.7,C
28,0,5.4,100.0,5.7,1,0,0,0,83.3,97.4,A
29,0,4.0,78.6,8.0,2,1,0,0,78.2,84.2,B
30,0,2.4,94.3,7.1,2,1,1,0,86.8,89.8,B
31,1,5.8,85.6,7.5,2,1,0,1,66.4,82.4,B
32,1,3.7,87.7,7.2,0,1,1,0,86.2,87.7,B
33,0,5.3,100.0,7.3,3,1,1,0,67.7,100.0,A
34,0,3.6,90.1,5.2,2,0,1,0,87.7,93.3,A
35,0,6.6,90.4,8.1,3,1,1,1,69.7,100.0,A
36,1,6.1,95.7,8.2,0,1,1,1,78.5,92.9,A
37,0,3.1,81.4,6.5,1,1,0,1,87.7,83.2,B
38,1,5.0,76.6,6.7,0,1,1,0,67.7,81.1,B
39,1,4.5,74.6,5.0,1,1,1,1,72.6,89.5,B
40,1,5.6,65.3,7.4,3,1,1,0,85.5,91.6,A
41,1,2.1,100.0,7.5,1,1,1,1,68.4,75.3,C
42,1,4.5,74.0,6.7,1,1,0,0,54.1,79.0,C
43,0,5.1,82.8,8.1,2,1,1,0,95.7,100.0,A
44,0,0.9,82.2,6.4,2,1,1,0,64.4,79.2,C
45,0,1.7,88.1,7.5,2,0,1,0,71.9,70.8,C
46,0,0.5,93.2,5.6,1,0,0,1,83.9,61.8,D
47,0,3.1,93.6,6.8,2,1,1,1,62.7,68.0,D
48,1,4.6,79.2,6.6,0,1,1,1,57.9,80.3,B
49,0,5.8,83.3,7.1,2,0,1,0,73.0,88.6,B
50,0,3.6,87.8,6.4,1,1,1,0,48.5,69.4,D
51,1,5.9,82.5,6.6,2,1,1,0,66.5,100.0,A
52,0,1.4,100.0,7.8,1,0,0,0,72.9,81.8,B
53,1,0.9,89.9,6.3,3,1,0,0,66.8,72.6,C
54,0,3.4,92.3,4.9,3,1,0,0,51.5,85.3,B
55,1,4.1,91.6,8.9,2,0,1,0,89.1,99.8,A
56,0,3.5,96.7,8.5,2,1,1,1,71.2,84.3,B
57,0,0.5,86.8,5.2,3,1,1,0,87.2,71.5,C
58,1,3.4,72.0,7.6,2,1,0,0,66.9,84.3,B
59,1,1.5,89.0,6.2,3,1,0,0,59.4,74.5,C
60,1,4.5,78.5,7.1,2,1,0,0,73.2,89.5,B
61,1,4.0,79.7,7.2,3,1,1,0,67.4,80.4,B
62,1,2.1,90.9,6.5,2,0,1,1,55.9,71.1,C
63,1,2.7,97.4,5.9,2,1,1,0,87.6,87.8,B
64,1,1.9,85.2,6.0,0,1,0,0,62.5,73.0,C
65,1,3.4,88.1,5.7,2,1,0,1,47.9,80.8,B
66,0,4.9,100.0,5.8,2,1,0,0,85.9,97.4,A
67,0,2.0,87.4,6.7,1,1,1,0,63.9,67.8,D
68,1,4.3,100.0,5.9,2,0,1,0,62.7,79.2,C
69,0,2.7,90.7,7.6,2,0,0,1,48.8,73.5,C
70,0,2.3,67.4,8.6,1,1,0,0,90.9,85.1,B
71,0,3.3,92.5,6.1,1,1,1,0,54.5,79.6,C
72,0,1.9,88.8,7.1,2,1,1,0,70.7,77.4,C
73,1,2.7,97.9,7.4,3,1,1,0,81.0,94.6,A
