pca,var_explicada,k,acuracia,precision,recall,f1_macro
4,0.5317,7,0.81,0.6065,0.687,0.624
5,0.6406,RF,0.8367,0.6045,0.6426,0.6179
4,0.5317,RF,0.8233,0.5988,0.65,0.6137
4,0.5317,5,0.8,0.5938,0.6667,0.6078
3,0.4197,5,0.8067,0.5922,0.6556,0.6064
4,0.5317,3,0.7967,0.5916,0.6648,0.6049
2,0.2929,RF,0.7733,0.5839,0.6667,0.592
5,0.6406,5,0.79,0.5749,0.6315,0.5844
2,0.2929,3,0.76,0.5771,0.6593,0.5813
2,0.2929,5,0.7667,0.5745,0.6481,0.58
5,0.6406,7,0.7833,0.571,0.6278,0.579
5,0.6406,3,0.8,0.5675,0.6074,0.5762
3,0.4197,RF,0.7933,0.5632,0.6037,0.5709
2,0.2929,7,0.7633,0.5668,0.6315,0.5706
3,0.4197,7,0.7867,0.5593,0.6,0.5657
3,0.4197,3,0.7867,0.5593,0.6,0.5657
